model,arm,signal,map,fit,scheme,bin,n,weight,conf_lo,conf_hi,mean_conf,empirical_rate,gap
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_width,7,52,0.208,0.7008584248903421,0.7998669163152567,0.7437545812704128,0.7115384615384616,-0.032216119731951265
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_width,8,17,0.068,0.8025601026996313,0.8993590215724173,0.8444117912735527,0.7647058823529411,-0.07970590892061158
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_mass,0,25,0.1,0.09506087961737103,0.4091567549246666,0.27844948347534904,0.48,0.20155051652465095
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_mass,1,25,0.1,0.41502301781993794,0.49328614879825683,0.46690394332667035,0.48,0.013096056673329637
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_mass,2,25,0.1,0.49538360456496,0.5512516139730286,0.5211205718254506,0.4,-0.12112057182545055
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_mass,3,25,0.1,0.5534086292659102,0.5917492145005543,0.5744589496828313,0.44,-0.13445894968283129
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_mass,4,25,0.1,0.5933556904175546,0.6184981649819281,0.6088572894605631,0.72,0.11114271053943692
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_mass,5,25,0.1,0.6191579498954822,0.662020934636865,0.6396677875824732,0.76,0.12033221241752678
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_mass,6,25,0.1,0.6631679406189234,0.6921415508076924,0.6800405773322012,0.64,-0.04004057733220123
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_mass,7,25,0.1,0.6930096191367298,0.7234004878577137,0.7078901619170814,0.56,-0.14789016191708138
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_mass,8,25,0.1,0.7283206830567734,0.7807521087610625,0.7532976144089801,0.76,0.006702385591019877
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_mass,9,25,0.1,0.7829557987070611,0.8993590215724173,0.8270368387246024,0.8,-0.027036838724602386
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,naive_full_sample,equal_width,2,5,0.02,0.21034796693877958,0.2942598066731323,0.24370475581966194,0.2,-0.04370475581966193
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,naive_full_sample,equal_width,3,22,0.088,0.31177666406524224,0.3922258303677409,0.36314828102739194,0.36363636363636365,0.0004880826089717072
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,naive_full_sample,equal_width,4,26,0.104,0.4191788840930449,0.4993418855446931,0.46634753305840076,0.46153846153846156,-0.004809071519939201
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,naive_full_sample,equal_width,5,59,0.236,0.5017762846697608,0.5968286814129105,0.5524379188855177,0.559322033898305,0.006884115012787295
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,naive_full_sample,equal_width,6,73,0.292,0.6008042638767578,0.6987400184615441,0.6524870191082887,0.6712328767123288,0.018745857604040128
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,naive_full_sample,equal_width,7,50,0.2,0.7015179721682303,0.7937977744494812,0.7431923907948444,0.7,-0.04319239079484449
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,naive_full_sample,equal_width,8,15,0.06,0.8008485739137085,0.8517421540190272,0.8183625963409751,0.8666666666666667,0.04830407032569162
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,naive_full_sample,equal_mass,0,25,0.1,0.21034796693877958,0.3839199277302072,0.33722105425643584,0.36,0.02277894574356415
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,naive_full_sample,equal_mass,1,25,0.1,0.385033774922296,0.49218580722361854,0.45631821788913807,0.4,-0.056318217889138045
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,naive_full_sample,equal_mass,2,25,0.1,0.49642194786636135,0.5483657538186107,0.5219867281094384,0.4,-0.12198672810943834
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,naive_full_sample,equal_mass,3,25,0.1,0.5488020368607923,0.5756090506183384,0.5610259813507552,0.64,0.0789740186492448
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,naive_full_sample,equal_mass,4,25,0.1,0.5763003753310757,0.6169806651212748,0.5971018089773551,0.68,0.08289819102264495
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,naive_full_sample,equal_mass,5,25,0.1,0.6187654765209408,0.6587414587487178,0.6356760284049534,0.76,0.1243239715950466
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,naive_full_sample,equal_mass,6,25,0.1,0.6602932820517191,0.6878915016924098,0.6753088476627815,0.68,0.004691152337218507
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,naive_full_sample,equal_mass,7,25,0.1,0.6894103688963567,0.7218994962996607,0.7053019888704347,0.48,-0.22530198887043473
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,naive_full_sample,equal_mass,8,25,0.1,0.7232906629156931,0.7692121195504832,0.7456482837374895,0.8,0.05435171626251056
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,naive_full_sample,equal_mass,9,25,0.1,0.772018155565081,0.8517421540190272,0.8041418573502912,0.84,0.03585814264970877
Gemma-4-31B-it,twin_named,A_cosine_to_real,isotonic,held_out_crossfit,equal_width,0,10,0.03215434083601286,0.0,0.0,0.0,0.7,0.7
Gemma-4-31B-it,twin_named,A_cosine_to_real,isotonic,held_out_crossfit,equal_width,5,34,0.10932475884244373,0.5,0.5714285714285714,0.5168067226890756,0.6176470588235294,0.10084033613445387
Gemma-4-31B-it,twin_named,A_cosine_to_real,isotonic,held_out_crossfit,equal_width,6,68,0.21864951768488747,0.6458333333333333,0.7,0.6522058823529411,0.7647058823529411,0.11250000000000004
Gemma-4-31B-it,twin_named,A_cosine_to_real,isotonic,held_out_crossfit,equal_width,7,94,0.3022508038585209,0.75,0.7916666666666666,0.7601111750047923,0.7553191489361702,-0.004792026068622057
